x, y
0.7696492223301616, 0.00011450475699382812
1.025423879408397, 0.00010236276014250276
1.3711079566428457, 0.00008491923735596505
1.826763152870828, 0.00007044824566160252
2.433844541940636, 0.00005736152510448681
3.2426750260563675, 0.0000618123209180319
4.320301129925715, 0.00004098038790077436
5.756050699886865, 0.00003732571310068969
7.696492223301615, 0.000038029595304778804
10.254238794083971, 0.000043342787208962905
13.6619917483643, 0.000027681566892884365
18.202230539048795, 0.000022539339047347935